x;Own;IntentToBuy;BrandAwareness_Anker;BrandAwareness_Bose;BrandAwareness_JBL;BrandAwareness_Philips;BrandAwareness_Sony;BrandAwareness_UE;BrandAwareness_HarmanKardon;BrandAwareness_Beats;BrandAwareness_None;SubjKnow_r1;SubjKnow_r2;SubjKnow_r3;SubjKnow_r4;SubjKnow_r5;PII_1;PII_2;PII_3;PII_4;PII_5;RelImp_battery;RelImp_weight;RelImp_price;RelImp_sound;Gender;Age;Occupation;Education;Income;brand_awareness;fa;fa2;factor_price.sound;factor_battery;factor_weight;factor_age.occupation.income.education;clusters
101;0;1;0;1;1;0;1;0;0;1;0;6;6;3;6;7;4;4;4;4;4;40;30;15;15;1;2;3;2;1;5;1.401493265;-0.213593357;0.104279406;1.328769833;1.930982999;-1.014315261;2
102;0;0;0;1;0;1;0;0;0;1;0;3;5;2;6;5;6;2;3;2;2;20;10;60;10;1;2;3;4;2;4;0.244927119;-0.919601987;1.899237299;-0.247233354;-0.175243872;-0.475245468;1
103;0;0;0;1;1;1;1;1;0;1;0;6;6;2;6;6;4;4;4;4;4;25;10;25;40;2;3;2;4;4;7;1.130316248;-0.213593357;-0.238956394;0.098549567;-0.162605305;0.483523122;4
104;1;0;0;1;1;0;0;0;1;1;0;5;6;4;5;6;6;6;6;6;6;15;5;30;50;1;5;1;4;1;5;0.985350104;1.233768795;-0.345276171;-0.692256499;-0.696841715;0.506687281;1
105;0;0;0;0;0;1;1;0;0;0;0;1;1;1;2;1;1;3;1;3;3;20;20;40;20;1;2;4;4;1;3;-1.807134732;-1.556671274;0.871004558;-0.234288718;0.86070695;-1.017423397;1
106;1;1;0;1;1;0;0;0;0;0;0;6;6;6;6;6;2;6;6;4;5;10;30;10;50;2;3;1;4;3;3;1.376409494;0.225609725;-1.104119233;-1.011862357;1.880997848;0.574969353;2
107;0;0;0;0;0;1;1;0;0;0;0;1;1;1;2;1;2;2;2;2;2;20;10;50;20;1;8;4;4;3;3;-1.807134732;-1.66095551;1.246327494;-0.259602408;-0.174041721;0.580657175;1
108;0;0;0;0;1;1;1;0;0;0;0;2;2;1;2;2;1;2;1;1;1;20;20;40;20;2;8;2;4;7;4;-1.296469752;-2.219998619;0.871004558;-0.234288718;0.86070695;2.11574473;3
109;1;0;1;0;1;1;1;0;0;0;0;5;6;3;6;6;6;6;6;6;6;20;20;30;30;2;2;4;4;2;5;1.004477485;1.233768795;0.218094754;-0.246657772;0.861909101;-0.792057548;4
110;0;0;0;0;0;1;1;0;0;0;0;1;7;1;7;7;1;1;1;1;1;10;5;80;5;1;8;1;4;2;3;0.53593616;-2.384636586;2.772282228;-1.019485839;-0.71128351;1.305727567;3
111;0;0;1;1;0;1;1;0;0;1;0;3;5;1;6;4;1;1;1;1;1;20;20;0;60;2;3;1;4;7;6;-0.026249898;-2.384636586;-1.740634659;-0.283764934;0.865515555;1.476432748;3
112;1;0;1;0;1;0;0;0;0;0;0;3;5;3;3;6;6;5;5;5;6;20;10;45;25;2;3;3;5;1;3;0.274152058;0.720043198;0.919872592;-0.265786935;-0.173440645;-0.352534532;4
113;1;0;1;0;1;0;1;0;0;1;0;7;7;6;6;7;6;6;5;6;5;15;5;20;60;2;3;1;4;4;5;1.887074474;1.001884963;-0.998185975;-0.704625553;-0.695639564;0.800335202;4
114;0;0;0;0;1;1;1;0;0;0;0;1;2;2;1;1;2;2;2;2;2;20;20;40;20;1;7;4;4;2;4;-1.712612914;-1.66095551;0.871004558;-0.234288718;0.86070695;0.164066514;1
115;0;0;0;0;1;1;1;0;0;1;0;2;2;2;2;2;1;2;1;1;1;20;20;30;30;1;8;4;4;2;5;-1.234946441;-2.219998619;0.218094754;-0.246657772;0.861909101;0.355291326;1
116;0;0;0;1;1;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;30;10;30;30;2;7;1;4;3;5;-1.234946441;-1.66095551;0.234489131;0.493808705;-0.154775343;1.339868603;3
117;1;0;0;0;1;1;1;0;0;1;0;6;6;4;6;5;5;5;6;5;5;20;20;40;20;2;1;3;3;1;5;1.043709166;0.675901105;0.871004558;-0.234288718;0.86070695;-1.048688101;4
118;1;0;0;1;0;1;1;0;0;1;0;6;7;6;6;6;7;7;7;6;7;30;20;10;40;2;4;1;4;6;5;1.490058694;1.774175627;-0.793743609;0.506753341;0.881175479;1.442291712;3
119;1;0;1;1;1;1;1;0;1;0;0;6;6;5;6;6;4;5;6;5;6;20;20;30;30;2;4;3;4;2;7;1.314886183;0.598086516;0.218094754;-0.246657772;0.861909101;-0.092795843;4
120;0;1;0;1;1;0;0;0;0;0;0;2;3;3;4;5;4;3;3;3;2;20;30;20;30;2;2;4;4;2;3;-0.269511428;-0.859459845;-0.157228183;-0.221344082;1.896657772;-0.792057548;2
121;0;1;0;0;1;1;0;0;0;1;0;2;2;2;3;3;7;6;7;6;2;50;10;10;30;1;3;1;3;1;4;-0.944642043;1.279185433;-0.483367986;2.025369039;-0.118646889;-0.032614316;2
